# INFO:
#
#LockIn-Datenpunkte f�r Mittelwert: 10
#LockIn1 SR830 Sensitivity: 1.000000E-1V
#Wait time:    aussen: 0.000 s    1.innen: 1.000 s    innen: 0.500 s
#Zaehler   SM XPS1   CHX   CHXErr   CHY   CHYErr   MessZeit(s)   ZeitproPunkt(s)
NaN   4.3000000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   3.2000000E-1   1.7790000E+0
NaN   4.3010000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.6300000E-1   9.6600000E-1
NaN   4.3020000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2600000E-1   9.2900000E-1
NaN   4.3030000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3400000E-1   9.3600000E-1
NaN   4.3040000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3400000E-1   9.4600000E-1
NaN   4.3050000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2600000E-1   9.2900000E-1
NaN   4.3060000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3300000E-1   9.3600000E-1
NaN   4.3070000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3200000E-1   9.3400000E-1
NaN   4.3080000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3000000E-1   9.3200000E-1
NaN   4.3090000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3400000E-1   9.3800000E-1
NaN   4.3100000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3400000E-1   9.3600000E-1
NaN   4.3110000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2500000E-1   9.2800000E-1
NaN   4.3120000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.4100000E-1   9.4400000E-1
NaN   4.3130000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.4800000E-1   9.5000000E-1
NaN   4.3140000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.4900000E-1   9.5100000E-1
NaN   4.3150000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2800000E-1   9.3200000E-1
NaN   4.3160000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3400000E-1   9.3800000E-1
NaN   4.3170000E+0   1.9836540E-5   5.0862667E-7   0.0000000E+0   0.0000000E+0   2.2500000E-1   9.2800000E-1
NaN   4.3180000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2800000E-1   9.3100000E-1
NaN   4.3190000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.5400000E-1   9.5600000E-1
NaN   4.3200000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2600000E-1   9.3100000E-1
NaN   4.3210000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2900000E-1   9.3300000E-1
NaN   4.3220000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.5000000E-1   9.5400000E-1
NaN   4.3230000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3500000E-1   9.3900000E-1
NaN   4.3240000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.6000000E-1   9.6200000E-1
NaN   4.3250000E+0   2.2888300E-5   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3000000E-1   9.3200000E-1
